Audience Segment,Audience1,Audience2,Audience3,Audience4,Audience5,Audience6,Audience7,Creative Size,Creative Messaging,Location,City,State,URL,Publisher,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Conversions,Gross Cost,322,CPC  (Gross Cost/Clicks),CPA (Cost/Conversions),CPM,CVR (Conversion/Clicks),CTR (Clicks/Impressions),Viewability
"US Financial>Estimated Discretionary Spending (Financial)>Greater than $2,499",US Financial,Estimated Discretionary Spending (Financial),"Greater than $2,499",,,,,320x50,10% Discount - Ends 6/1,"Nashville,Tennessee",Nashville,Tennessee,biblestudytools.com,Biblestudytools,Google Ad Manager,Smartphone,"10,779.00",2,"6,420.00","10,287.00",1,"$1,759.70",,$879.85,"$1,759.70",$163.25,50.00%,0.02%,62.41%
US>Sociodemographic>PRIZM Premier Lifestage>F2 Young Accumulators,US,Sociodemographic,PRIZM Premier Lifestage,F2 Young Accumulators,,,,300x50,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,w3schools.com,W3Schools,Index Exchange,Smartphone,"72,117.00",2,"9,807.00","68,568.00",16,"$1,702.32",,$851.16,$106.39,$23.60,800.00%,0.00%,14.30%
Media and Entertainment>Gaming>Interest (Affinity)>Video Games,Media and Entertainment,Gaming,Interest (Affinity),Video Games,,,,320x50,Subscribe Today - 10% Discount,"Tallahassee,Florida-Thomasville,Georgia",#REF!,,bleacherbreaker.com,Bleacherbreaker,OpenX,Smartphone,"9,078.00",2,"4,051.00","6,215.00",1,"$1,700.80",,$850.40,"$1,700.80",$187.35,50.00%,0.02%,65.18%
Mobile - US>Food>Restaurant>Brand>Outback Steakhouse,Mobile - US,Food,Restaurant,Brand,Outback Steakhouse,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,buzzfeed.com,Buzzfeed,TripleLift,Smartphone,"11,296.00",2,"6,822.00","9,274.00",1,"$1,682.34",,$841.17,"$1,682.34",$148.93,50.00%,0.02%,73.56%
US>Sociodemographic>ConneXions Lifestage>F1 Early Adopting Elite,US,Sociodemographic,ConneXions Lifestage,F1 Early Adopting Elite,,,,320x50,Sign up Today - 10% Off,"New York City,New York",New York City,New York,forbes.com,Forbes,Google Ad Manager,Smartphone,"20,899.00",2,"11,394.00","19,576.00",19,"$1,649.46",,$824.73,$86.81,$78.93,950.00%,0.01%,58.20%
US Financial>Credit Card Type>Credit Card Holder - Unknown Type,US Financial,Credit Card Type,Credit Card Holder - Unknown Type,,,,,300x50,10% Discount - Ends 6/1,"Savannah,Georgia",Savannah,Georgia,fandom.com,Fandom,Google Ad Manager,Smartphone,"7,394.00",2,"3,441.00","6,663.00",1,"$1,624.84",,$812.42,"$1,624.84",$219.75,50.00%,0.03%,51.64%
OnAudience>Interest>Arts & Entertainment>Television,OnAudience,Interest,Arts & Entertainment,Television,,,,300x250,10% Discount - Ends 6/1,"Augusta,Georgia",Augusta,Georgia,forbes.com,Forbes,Google Ad Manager,Windows PC,"22,800.00",2,"8,298.00","21,161.00",24,"$1,620.17",,$810.08,$67.51,$71.06,1200.00%,0.01%,39.21%
US Mail Order Buyer,US Mail Order Buyer,,,,,,,320x50,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,weather.com,Weather,Google Ad Manager,Smartphone,"78,433.00",2,"24,067.00","58,308.00",16,"$1,612.55",,$806.27,$100.78,$20.56,800.00%,0.00%,41.28%
US>Brand Propensities>Travel>Booking.com Buyer Propensity,US,Brand Propensities,Travel,Booking.com Buyer Propensity,,,,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,fandom.com,Fandom,Google Ad Manager,Smartphone,"22,259.00",2,"12,405.00","17,609.00",14,"$1,611.34",,$805.67,$115.10,$72.39,700.00%,0.01%,70.45%
OnAudience>Interest>News>National News,OnAudience,Interest,News,National News,,,,300x50,Sign up Now - 10% Off,"Los Angeles,California",Los Angeles,California,greedyfinance.com,Greedyfinance,Google Ad Manager,Smartphone,"20,537.00",2,"15,587.00","19,288.00",10,"$1,609.88",,$804.94,$160.99,$78.39,500.00%,0.01%,80.81%
Lotame>Personal Finance,Lotame,Personal Finance,,,,,,320x50,Sign up Now - 10% Off,"San Francisco,California",San Francisco,California,decider.com,Decider,Google Ad Manager,Smartphone,"1,293.00",2,951.00,"1,162.00",1,"$1,597.78",,$798.89,"$1,597.78","$1,235.72",50.00%,0.15%,81.84%
OnAudience>Interest>Arts & Entertainment>Celebrity Fan>Gossip,OnAudience,Interest,Arts & Entertainment,Celebrity Fan,Gossip,,,300x250,Subscribe Today - 10% Discount,"Los Angeles,California",Los Angeles,California,ebay.com,Ebay,BidSwitch,Smartphone,"77,703.00",2,"33,478.00","72,874.00",3,"$1,566.91",,$783.46,$522.30,$20.17,150.00%,0.00%,45.94%
US>Brand Propensities>Restaurants and Dining>OpenTable Buyer Propensity,US,Brand Propensities,Restaurants and Dining,OpenTable Buyer Propensity,,,,320x50,10% Discount - Ends 6/1,"Tampa-St Petersburg (Sarasota),Florida",Tampa-St Petersburg (Sarasota),Florida,football.fantasysports.yahoo.com,Football,Sovrn,Smartphone,"7,201.00",2,"3,116.00","5,788.00",1,"$1,561.18",,$780.59,"$1,561.18",$216.80,50.00%,0.03%,53.84%
Mobile - US>Shopping>Brand>Old Navy,Mobile - US,Shopping,Brand,Old Navy,,,,300x250,Sign up Now - 10% Off,"Los Angeles,California",Los Angeles,California,autotrader.com,Autotrader,PubMatic,Smartphone,"67,752.00",2,"47,126.00","65,080.00",3,"$1,557.02",,$778.51,$519.01,$22.98,150.00%,0.00%,72.41%
Mobile - US>Automotive>Vehicle Ownership>Brand>Jeep,Mobile - US,Automotive,Vehicle Ownership,Brand,Jeep,,,300x250,Sign up Now - 10% Off,"Ft. Myers-Naples,Florida",Ft. Myers-Naples,Florida,health.com,Health,PubMatic,Smartphone,557.00,2,346.00,533.00,3,"$1,541.70",,$770.85,$513.90,"$2,767.87",150.00%,0.36%,64.92%
OnAudience>Interest>Games,OnAudience,Interest,Games,,,,,320x50,Sign up Now - 10% Off,"Los Angeles,California",Los Angeles,California,gamespot.com,Gamespot,BidSwitch,Smartphone,"13,779.00",2,"3,482.00","12,487.00",1,"$1,530.04",,$765.02,"$1,530.04",$111.04,50.00%,0.01%,27.89%
Mobile - US>Sports>Motor Sports>NASCAR,Mobile - US,Sports,Motor Sports,NASCAR,,,,320x50,Sign up Now - 10% Off,"Ft. Wayne,Indiana",Ft. Wayne,Indiana,yahoo.com,Yahoo,Google Ad Manager,Smartphone,"74,516.00",2,"23,985.00","63,853.00",24,"$1,523.78",,$761.89,$63.49,$20.45,1200.00%,0.00%,37.56%
OnAudience>Intent>Software,OnAudience,Intent,Software,,,,,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,politico.com,Politico,Google Ad Manager,Windows PC,"22,501.00",2,"13,003.00","21,286.00",1,"$1,522.52",,$761.26,"$1,522.52",$67.66,50.00%,0.01%,61.09%
US Health and Fitness>Interest>Exercise>Health,US Health and Fitness,Interest,Exercise,Health,,,,300x50,10% Discount - Ends 6/1,"San Francisco,California",San Francisco,California,realtor.com,Realtor,BidSwitch,Smartphone,"10,819.00",2,"4,168.00","9,768.00",1,"$1,504.33",,$752.16,"$1,504.33",$139.05,50.00%,0.02%,42.67%
"US Financial>Estimated Disposable Income>$0 - $99,999",US Financial,Estimated Disposable Income,"$0 - $99,999",,,,,300x250,Subscribe Today - 10% Discount,"Peoria-Bloomington,Illinois",Peoria-Bloomington,Illinois,fandom.com,Fandom,OpenX,Windows PC,"21,143.00",2,"3,798.00","19,588.00",2,"$1,500.42",,$750.21,$750.21,$70.97,100.00%,0.01%,19.39%
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Team Sports>Baseball>Major League Baseball (MLB),Media and Entertainment,Sports and Recreational Activities,Interest (Affinity),Team Sports,Baseball,Major League Baseball (MLB),,300x250,Subscribe Today - 10% Discount,"Champaign & Springfield-Decatur,Illinois",Champaign & Springfield-Decatur,Illinois,aol.com,Aol,OpenX,Smartphone,"11,062.00",2,"6,539.00","9,391.00",1,"$1,500.10",,$750.05,"$1,500.10",$135.61,50.00%,0.02%,69.63%
US>Brand Propensities>Media and Entertainment>Sony Network Entertainment International Buyer Propensity,US,Brand Propensities,Media and Entertainment,Sony Network Entertainment International Buyer Propensity,,,,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,mail.aol.com,Mail,PubMatic,Windows PC,"32,173.00",2,"24,427.00","30,084.00",11,"$1,498.29",,$749.15,$136.21,$46.57,550.00%,0.01%,81.20%
Media and Entertainment>Audio and Video Streaming>Streaming Video,Media and Entertainment,Audio and Video Streaming,Streaming Video,,,,,320x50,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo,Michigan",Grand Rapids-Kalamazoo,Michigan,wunderground.com,Wunderground,OpenX,Smartphone,"13,713.00",2,"8,339.00","13,051.00",4,"$1,490.01",,$745.00,$372.50,$108.66,200.00%,0.01%,63.90%
OnAudience>Intent>Media>Music,OnAudience,Intent,Media,Music,,,,320x50,10% Discount - Ends 6/1,"Rockford,Illinois",Rockford,Illinois,localmemphis.com,Localmemphis,Sharethrough,Smartphone,158.00,2,119.00,147.00,9,"$1,466.73",,$733.36,$162.97,"$9,283.10",450.00%,1.27%,80.95%
OnAudience>Interest>Arts & Entertainment>Books & Literature,OnAudience,Interest,Arts & Entertainment,Books & Literature,,,,300x250,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,killingthyme.net,Killingthyme,Google Ad Manager,Windows PC,145.00,2,81.00,135.00,2,"$1,458.94",,$729.47,$729.47,"$10,061.65",100.00%,1.38%,60.00%
US Interest>Cooking>General,US Interest,Cooking,General,,,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,ew.com,Ew,Xandr - Monetize SSP (AppNexus),Smartphone,"9,920.00",2,"6,702.00","9,096.00",10,"$1,453.11",,$726.56,$145.31,$146.48,500.00%,0.02%,73.68%
Lotame>Offline CPG Purchasers>Product Segment>Home Supplies,Lotame,Offline CPG Purchasers,Product Segment,Home Supplies,,,,300x250,Sign up Today - 10% Off,"Los Angeles,California",Los Angeles,California,ebay.com,Ebay,PubMatic,Smartphone,"13,326.00",2,"3,568.00","11,388.00",1,"$1,442.03",,$721.02,"$1,442.03",$108.21,50.00%,0.02%,31.33%
Online Behavior>United States>Travel>Tourist Destinations>Lakes and Rivers,Online Behavior,United States,Travel,Tourist Destinations,Lakes and Rivers,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,flightaware.com,Flightaware,Index Exchange,Smartphone,"12,710.00",1,"8,159.00","11,984.00",11,"$7,851.40",,"$7,851.40",$713.76,$617.73,1100.00%,0.01%,68.08%
Online Behavior>United States>Life Event>Home Buying,Online Behavior,United States,Life Event,Home Buying,,,,300x250,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,topclassactions.com,Topclassactions,PubMatic,Smartphone,"9,362.00",1,"5,202.00","8,928.00",1,"$7,312.49",,"$7,312.49","$7,312.49",$781.08,100.00%,0.01%,58.27%
Online Behavior>United States>Finance>Investing>Currencies and Foreign Exchange,Online Behavior,United States,Finance,Investing,Currencies and Foreign Exchange,,,320x50,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,upworthy.com,Upworthy,Google Ad Manager,Smartphone,"2,366.00",1,"1,648.00","2,207.00",2,"$7,079.52",,"$7,079.52","$3,539.76","$2,992.19",200.00%,0.04%,74.67%
Online Behavior>United States>Internet and Telecom>Email and Messaging,Online Behavior,United States,Internet and Telecom,Email and Messaging,,,,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,dexerto.com,Dexerto,OpenX,Smartphone,"14,553.00",1,"6,119.00","12,505.00",1,"$6,968.00",,"$6,968.00","$6,968.00",$478.80,100.00%,0.01%,48.93%
Online Behavior>United States>Internet and Telecom>Mobile and Wireless,Online Behavior,United States,Internet and Telecom,Mobile and Wireless,,,,320x50,Sign up Now - 10% Off,"Nashville,Tennessee",Nashville,Tennessee,forbes.com,Forbes,Google Ad Manager,Smartphone,"15,326.00",1,"7,941.00","14,331.00",8,"$6,943.52",,"$6,943.52",$867.94,$453.05,800.00%,0.01%,55.41%
Online Behavior>United States>Home and Garden>Yard and Patio,Online Behavior,United States,Home and Garden,Yard and Patio,,,,300x250,Subscribe Today - 10% Discount,"Los Angeles,California",Los Angeles,California,w3schools.com,W3Schools,Index Exchange,Smartphone,"11,607.00",1,"5,218.00","10,763.00",1,"$6,909.73",,"$6,909.73","$6,909.73",$595.31,100.00%,0.01%,48.48%
Online Behavior>United States>Sports>Team Sports>Volleyball,Online Behavior,United States,Sports,Team Sports,Volleyball,,,300x250,Subscribe Today - 10% Discount,"Nashville,Tennessee",Nashville,Tennessee,buzzfeed.com,Buzzfeed,Yieldmo,Apple PC,"10,066.00",1,"6,978.00","9,369.00",19,"$6,879.59",,"$6,879.59",$362.08,$683.45,1900.00%,0.01%,74.48%
Online Behavior>United States>Law and Government>Legal,Online Behavior,United States,Law and Government,Legal,,,,320x50,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,washingtonpost.com,Washingtonpost,Xandr - Monetize SSP (AppNexus),Smartphone,"9,867.00",1,"6,867.00","9,347.00",18,"$6,839.57",,"$6,839.57",$379.98,$693.18,1800.00%,0.01%,73.47%
Online Behavior>United States>Games>Card Games,Online Behavior,United States,Games,Card Games,,,,320x50,10% Discount - Ends 6/1,"San Francisco,California",San Francisco,California,boattrader.com,Boattrader,Google Ad Manager,Smartphone,"11,511.00",1,"8,268.00","11,042.00",1,"$6,815.71",,"$6,815.71","$6,815.71",$592.10,100.00%,0.01%,74.88%
Online Behavior>United States>The Changing Consumer>Home Gardener,Online Behavior,United States,The Changing Consumer,Home Gardener,,,,300x250,Subscribe Today - 10% Discount,"Los Angeles,California",Los Angeles,California,usnews.com,Usnews,Magnite DV+,Smartphone,"7,151.00",1,"3,359.00","6,108.00",1,"$6,806.27",,"$6,806.27","$6,806.27",$951.79,100.00%,0.01%,54.99%
Online Behavior>United States>Travel>Car Rental and Taxi Services,Online Behavior,United States,Travel,Car Rental and Taxi Services,,,,300x50,Subscribe Today - 10% Discount,"Los Angeles,California",Los Angeles,California,dictionary.com,Dictionary,PubMatic,Smartphone,"10,350.00",1,723.00,"8,720.00",19,"$6,774.20",,"$6,774.20",$356.54,$654.51,1900.00%,0.01%,8.29%
Online Behavior>United States>Beauty and Fitness>Fashion and Style>Fashion Modeling,Online Behavior,United States,Beauty and Fitness,Fashion and Style,Fashion Modeling,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,forbes.com,Forbes,Google Ad Manager,Smartphone,"18,095.00",1,"10,021.00","16,755.00",24,"$6,768.76",,"$6,768.76",$282.03,$374.07,2400.00%,0.01%,59.81%
Online Behavior>United States>Sports>Individual Sports>Track and Field,Online Behavior,United States,Sports,Individual Sports,Track and Field,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,mail.aol.com,Mail,Google Ad Manager,Smartphone,"7,514.00",1,"2,646.00","3,373.00",3,"$6,756.30",,"$6,756.30","$2,252.10",$899.16,300.00%,0.01%,78.45%
Online Behavior>United States>People and Society>Millennials,Online Behavior,United States,People and Society,Millennials,,,,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,accuweather.com,Accuweather,BidSwitch,Smartphone,"23,829.00",1,"8,326.00","18,812.00",5,"$6,696.19",,"$6,696.19","$1,339.24",$281.01,500.00%,0.00%,44.26%
Online Behavior>United States>Intent>Financial Intent>Banking,Online Behavior,United States,Intent,Financial Intent,Banking,,,300x50,Subscribe Today - 10% Discount,"San Francisco,California",San Francisco,California,mydailymagazine.com,Mydailymagazine,Google Ad Manager,Smartphone,"9,238.00",1,"4,626.00","8,264.00",15,"$6,683.23",,"$6,683.23",$445.55,$723.45,1500.00%,0.01%,55.98%
Online Behavior>United States>Beauty and Fitness>Fashion and Style>Couture Fashion,Online Behavior,United States,Beauty and Fitness,Fashion and Style,Couture Fashion,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,npr.org,Npr,BidSwitch,Smartphone,"6,902.00",1,"3,884.00","5,793.00",1,"$6,673.33",,"$6,673.33","$6,673.33",$966.87,100.00%,0.01%,67.05%
Online Behavior>United States>Autos and Vehicles>Vehicle Shopping,Online Behavior,United States,Autos and Vehicles,Vehicle Shopping,,,,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,therighthairstyles.com,Therighthairstyles,PubMatic,Smartphone,"1,455.00",1,713.00,"1,355.00",3,"$6,651.98",,"$6,651.98","$2,217.33","$4,571.81",300.00%,0.07%,52.62%
Online Behavior>United States>Home and Garden>Home Storage and Shelving,Online Behavior,United States,Home and Garden,Home Storage and Shelving,,,,320x50,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,autobidmaster.com,Autobidmaster,PubMatic,Smartphone,310.00,1,24.00,273.00,2,"$6,552.72",,"$6,552.72","$3,276.36","$21,137.81",200.00%,0.32%,8.79%
Online Behavior>United States>Arts and Entertainment>Arts and Entertainment,Online Behavior,United States,Arts and Entertainment,Arts and Entertainment,,,,320x50,Subscribe Today - 10% Discount,"Orlando-Daytona Beach,Florida",Orlando-Daytona Beach,Florida,nbcchicago.com,Nbcchicago,Google Ad Manager,Smartphone,"7,248.00",1,"3,988.00","6,863.00",7,"$6,548.07",,"$6,548.07",$935.44,$903.43,700.00%,0.01%,58.11%
Online Behavior>United States>Life Event>Job Search,Online Behavior,United States,Life Event,Job Search,,,,320x50,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,thesaurus.com,Thesaurus,Google Ad Manager,Smartphone,"18,081.00",1,"4,545.00","15,617.00",5,"$6,522.64",,"$6,522.64","$1,304.53",$360.75,500.00%,0.01%,29.10%
Online Behavior>United States>Travel>Tourist Destinations>Historical Sites and Buildings,Online Behavior,United States,Travel,Tourist Destinations,Historical Sites and Buildings,,,320x50,10% Discount - Ends 6/1,"San Francisco,California",San Francisco,California,slickdeals.net,Slickdeals,Index Exchange,Smartphone,"47,360.00",1,"8,047.00","33,641.00",2,"$6,502.27",,"$6,502.27","$3,251.14",$137.29,200.00%,0.00%,23.92%
Online Behavior>United States>Intent>Shopping>Drug Stores,Online Behavior,United States,Intent,Shopping,Drug Stores,,,320x50,Sign up Now - 10% Off,"Jacksonville,Florida",Jacksonville,Florida,investopedia.com,Investopedia,Google Ad Manager,Smartphone,"7,687.00",1,"5,311.00","7,266.00",6,"$6,486.85",,"$6,486.85","$1,081.14",$843.87,600.00%,0.01%,73.09%
Online Behavior>United States>Food and Drink>Beverages>Beer,Online Behavior,United States,Food and Drink,Beverages,Beer,,,300x250,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,zillow.com,Zillow,Index Exchange,Apple PC,"26,212.00",1,"12,726.00","24,442.00",11,"$6,452.94",,"$6,452.94",$586.63,$246.18,1100.00%,0.00%,52.07%
"Online Behavior>United States>Intent>Shopping>Consumer Electronics>Computers, Laptops",Online Behavior,United States,Intent,Shopping,Consumer Electronics,"Computers, Laptops",,320x50,Sign up Today - 10% Off,"Knoxville,Tennessee",Knoxville,Tennessee,cargurus.com,Cargurus,Yahoo Exchange,Smartphone,"16,644.00",1,"5,055.00","15,831.00",5,"$6,386.46",,"$6,386.46","$1,277.29",$383.71,500.00%,0.01%,31.93%
Online Behavior>United States>Intent>Auto Buyers>Car Make>Vauxhall,Online Behavior,United States,Intent,Auto Buyers,Car Make,Vauxhall,,320x50,Sign up Now - 10% Off,"San Francisco,California",San Francisco,California,nypost.com,Nypost,Google Ad Manager,Smartphone,"14,038.00",1,"1,600.00","11,345.00",8,"$6,368.86",,"$6,368.86",$796.11,$453.69,800.00%,0.01%,14.10%
Online Behavior>United States>Online Communities>Dating and Personals,Online Behavior,United States,Online Communities,Dating and Personals,,,,320x50,Sign up Today - 10% Off,"Nashville,Tennessee",Nashville,Tennessee,weather.com,Weather,Google Ad Manager,Smartphone,"39,844.00",1,"11,077.00","30,190.00",6,"$6,367.87",,"$6,367.87","$1,061.31",$159.82,600.00%,0.00%,36.69%
Online Behavior>United States>Life Event>Bride,Online Behavior,United States,Life Event,Bride,,,,320x50,Subscribe Today - 10% Discount,"Nashville,Tennessee",Nashville,Tennessee,businessinsider.com,Businessinsider,TripleLift,Smartphone,"11,919.00",1,"8,100.00","11,524.00",1,"$6,350.92",,"$6,350.92","$6,350.92",$532.84,100.00%,0.01%,70.29%
Online Behavior>United States>Intent>Auto Buyers>Car Make>Mercedes,Online Behavior,United States,Intent,Auto Buyers,Car Make,Mercedes,,320x50,Subscribe Today - 10% Discount,"Lansing,Michigan",Lansing,Michigan,realtor.com,Realtor,Index Exchange,Smartphone,"42,459.00",1,"15,187.00","37,408.00",1,"$6,321.49",,"$6,321.49","$6,321.49",$148.88,100.00%,0.00%,40.60%
Online Behavior>United States>Intent>Auto Buyers>Car Make>Jeep,Online Behavior,United States,Intent,Auto Buyers,Car Make,Jeep,,300x250,Sign up Today - 10% Off,"New York City,New York",New York City,New York,weather.com,Weather,Smart RTB+ (Smartadserver),Windows PC,"96,779.00",1,"9,831.00","63,640.00",10,"$6,317.51",,"$6,317.51",$631.75,$65.28,1000.00%,0.00%,15.45%
Online Behavior>United States>Intent>Auto Buyers>Auto Buyers,Online Behavior,United States,Intent,Auto Buyers,Auto Buyers,,,300x50,Sign up Today - 10% Off,"Jacksonville,Florida",Jacksonville,Florida,thesportsdrop.com,Thesportsdrop,Google Ad Manager,Smartphone,"2,770.00",1,"1,427.00","2,612.00",3,"$6,312.41",,"$6,312.41","$2,104.14","$2,278.85",300.00%,0.04%,54.63%
Online Behavior>United States>Intent>Auto Buyers>Type>Truck,Online Behavior,United States,Intent,Auto Buyers,Type,Truck,,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota),Florida",Tampa-St Petersburg (Sarasota),Florida,msn.com,Msn,BidSwitch,Smartphone,"12,974.00",1,"7,521.00","10,959.00",5,"$6,301.87",,"$6,301.87","$1,260.37",$485.73,500.00%,0.01%,68.63%
Online Behavior>United States>Intent>Auto Buyers>Car Make>Audi,Online Behavior,United States,Intent,Auto Buyers,Car Make,Audi,,300x250,10% Discount - Ends 6/1,"New York City,New York",New York City,New York,travellergazette.com,Travellergazette,OpenX,Smartphone,"1,036.00",1,807.00,940.00,6,"$6,257.93",,"$6,257.93","$1,042.99","$6,040.47",600.00%,0.10%,85.85%
Online Behavior>United States>Intent>Shopping>CPG» Beverages,Online Behavior,United States,Intent,Shopping,CPG» Beverages,,,300x250,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,nba.com,Nba,Google Ad Manager,Windows PC,"2,772.00",1,"1,154.00","2,536.00",9,"$6,235.46",,"$6,235.46",$692.83,"$2,249.44",900.00%,0.04%,45.50%
Online Behavior>United States>Food and Drink>Restaurants>Fine Dining,Online Behavior,United States,Food and Drink,Restaurants,Fine Dining,,,300x250,Sign up Now - 10% Off,"New York City,New York",New York City,New York,thesaurus.com,Thesaurus,Google Ad Manager,Windows PC,"95,655.00",1,"9,202.00","85,273.00",24,"$6,189.42",,"$6,189.42",$257.89,$64.71,2400.00%,0.00%,10.79%
Online Behavior>United States>Intent>Auto Buyers>Car Make>Honda,Online Behavior,United States,Intent,Auto Buyers,Car Make,Honda,,300x250,Subscribe Today - 10% Discount,"Nashville,Tennessee",Nashville,Tennessee,npr.org,Npr,Yahoo Exchange,Smartphone,"8,000.00",1,"4,400.00","6,379.00",1,"$6,159.37",,"$6,159.37","$6,159.37",$769.92,100.00%,0.01%,68.98%
Online Behavior>United States>Sports>Sports League>Premier League,Online Behavior,United States,Sports,Sports League,Premier League,,,300x250,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,cnet.com,Cnet,BidSwitch,Smartphone,"8,217.00",1,"5,740.00","8,009.00",1,"$6,051.33",,"$6,051.33","$6,051.33",$736.44,100.00%,0.01%,71.67%
Online Behavior>United States>Intent>Services>Arts and Entertainment,Online Behavior,United States,Intent,Services,Arts and Entertainment,,,300x250,Sign up Today - 10% Off,"Chicago,Illinois",Chicago,Illinois,msn.com,Msn,Google Ad Manager,Apple PC,"29,834.00",1,"14,599.00","24,656.00",2,"$6,032.84",,"$6,032.84","$3,016.42",$202.21,200.00%,0.00%,59.21%
Online Behavior>United States>Intent>Auto Buyers>Car Make>Nissan,Online Behavior,United States,Intent,Auto Buyers,Car Make,Nissan,,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale,Florida",Miami-Ft. Lauderdale,Florida,britannica.com,Britannica,Google Ad Manager,Smartphone,"8,068.00",1,"5,545.00","7,554.00",1,"$5,995.04",,"$5,995.04","$5,995.04",$743.06,100.00%,0.01%,73.40%
Online Behavior>United States>Online Communities>Social Influencer,Online Behavior,United States,Online Communities,Social Influencer,,,,320x50,Subscribe Today - 10% Discount,"Los Angeles,California",Los Angeles,California,whatismyipaddress.com,Whatismyipaddress,Yahoo Exchange,Smartphone,"5,873.00",1,"2,703.00","5,141.00",3,"$5,949.94",,"$5,949.94","$1,983.31","$1,013.10",300.00%,0.02%,52.58%
Online Behavior>United States>Finance>Investing>Real Estate Investment Trusts,Online Behavior,United States,Finance,Investing,Real Estate Investment Trusts,,,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City,Michigan",Flint-Saginaw-Bay City,Michigan,tennessean.com,Tennessean,PubMatic,Smartphone,"6,922.00",1,"3,974.00","6,498.00",1,"$5,886.87",,"$5,886.87","$5,886.87",$850.46,100.00%,0.01%,61.16%
Online Behavior>United States>Real Estate>Apartments and Residential Rentals,Online Behavior,United States,Real Estate,Apartments and Residential Rentals,,,,320x50,Sign up Now - 10% Off,"New York City,New York",New York City,New York,cbssports.com,Cbssports,Google Ad Manager,Smartphone,"9,515.00",1,"6,169.00","9,138.00",1,"$5,776.51",,"$5,776.51","$5,776.51",$607.09,100.00%,0.01%,67.51%
Online Behavior>United States>Autos and Vehicles>Brands>Jeep,Online Behavior,United States,Autos and Vehicles,Brands,Jeep,,,320x50,Sign up Now - 10% Off,"Los Angeles,California",Los Angeles,California,accuweather.com,Accuweather,Google Ad Manager,Smartphone,"23,711.00",1,"4,337.00","17,211.00",1,"$5,740.95",,"$5,740.95","$5,740.95",$242.12,100.00%,0.00%,25.20%
Online Behavior>United States>Intent>Shopping>Pet Food>Cat,Online Behavior,United States,Intent,Shopping,Pet Food,Cat,,300x250,Sign up Today - 10% Off,"New York City,New York",New York City,New York,spiceworks.com,Spiceworks,Magnite DV+,Smartphone,"4,473.00",1,"4,184.00","4,346.00",3,"$5,673.32",,"$5,673.32","$1,891.11","$1,268.35",300.00%,0.02%,96.27%
Online Behavior>United States>Autos and Vehicles>Brands>Peugeot,Online Behavior,United States,Autos and Vehicles,Brands,Peugeot,,,320x50,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,todaysnyc.com,Todaysnyc,Google Ad Manager,Smartphone,"17,317.00",1,"8,055.00","12,724.00",1,"$5,668.86",,"$5,668.86","$5,668.86",$327.36,100.00%,0.01%,63.31%
